Country,Date,Confirmed,Deaths,Recovered
Albania,2020-3-17,4,0,0
Albania,2020-3-18,4,1,0
Albania,2020-3-19,5,0,0
Albania,2020-3-20,6,0,0
Albania,2020-3-21,6,0,2
Albania,2020-3-22,13,0,0
Albania,2020-3-23,15,2,0
Albania,2020-3-24,19,1,8
Albania,2020-3-25,23,0,7
Albania,2020-3-26,28,1,0
Albania,2020-3-27,12,2,14
Albania,2020-3-28,11,2,0
Albania,2020-3-29,15,0,2
Albania,2020-3-30,11,1,11
Albania,2020-3-31,20,4,8
Albania,2020-4-1,16,0,15
Albania,2020-4-2,18,1,9
Albania,2020-4-3,27,1,13
Albania,2020-4-4,29,3,10
Albania,2020-4-5,28,0,5
Albania,2020-4-6,16,1,12
Albania,2020-4-7,6,1,15
Albania,2020-4-8,17,0,23
Albania,2020-4-9,9,1,11
Albania,2020-4-10,7,0,17
Albania,2020-4-11,17,0,15
Albania,2020-4-12,13,0,20
Albania,2020-4-13,21,0,15
Albania,2020-4-14,8,1,16
Albania,2020-4-15,19,1,3
Albania,2020-4-16,24,1,26
Albania,2020-4-17,21,0,6
Albania,2020-4-18,9,0,19
Albania,2020-4-19,14,0,12
Albania,2020-4-20,22,0,13
Albania,2020-4-21,25,0,18
Albania,2020-4-22,25,1,11
Algeria,2020-1-22,0,0,0
Algeria,2020-1-23,0,0,0
Algeria,2020-1-24,0,0,0
Algeria,2020-1-25,0,0,0
Algeria,2020-1-26,0,0,0
Algeria,2020-1-27,0,0,0
Algeria,2020-1-28,0,0,0
Algeria,2020-1-29,0,0,0
Algeria,2020-1-30,0,0,0
Algeria,2020-1-31,0,0,0
Algeria,2020-2-1,0,0,0
Algeria,2020-2-2,0,0,0
Algeria,2020-2-3,0,0,0
Algeria,2020-2-4,0,0,0
Algeria,2020-2-5,0,0,0
Algeria,2020-2-6,0,0,0
Algeria,2020-2-7,0,0,0
Algeria,2020-2-8,0,0,0
Algeria,2020-2-9,0,0,0
Algeria,2020-2-10,0,0,0
Algeria,2020-2-11,0,0,0
Algeria,2020-2-12,0,0,0
Algeria,2020-2-13,0,0,0
Algeria,2020-2-14,0,0,0
Algeria,2020-2-15,0,0,0
Algeria,2020-2-16,0,0,0
Algeria,2020-2-17,0,0,0
Algeria,2020-2-18,0,0,0
Algeria,2020-2-19,0,0,0
Algeria,2020-2-20,0,0,0
Algeria,2020-2-21,0,0,0
Algeria,2020-2-22,0,0,0
Algeria,2020-2-23,0,0,0
Algeria,2020-2-24,0,0,0
Algeria,2020-2-25,1,0,0
Algeria,2020-2-26,0,0,0
Algeria,2020-2-27,0,0,0
Algeria,2020-2-28,0,0,0
Algeria,2020-2-29,0,0,0
Algeria,2020-3-1,0,0,0
Algeria,2020-3-2,2,0,0
Algeria,2020-3-3,2,0,0
Algeria,2020-3-4,7,0,0
Algeria,2020-3-5,0,0,0
Algeria,2020-3-6,5,0,0
Algeria,2020-3-7,0,0,0
Algeria,2020-3-8,2,0,0
Algeria,2020-3-9,1,0,0
Algeria,2020-3-10,0,0,0
Algeria,2020-3-11,0,0,0
Algeria,2020-3-12,4,1,8
Algeria,2020-3-13,2,1,0
Algeria,2020-3-14,11,1,4
Algeria,2020-3-15,11,1,0
Algeria,2020-3-16,6,0,0
Algeria,2020-3-17,6,0,0
Algeria,2020-3-18,14,3,0
Algeria,2020-3-19,13,2,20
Algeria,2020-3-20,3,2,0
Algeria,2020-3-21,49,4,0
Algeria,2020-3-22,62,2,33
Algeria,2020-3-23,29,0,0
Algeria,2020-3-24,34,2,-41
Algeria,2020-3-25,38,2,41
Algeria,2020-3-26,65,4,-36
Algeria,2020-3-27,42,1,0
Algeria,2020-3-28,45,3,2
Algeria,2020-3-29,57,2,0
Algeria,2020-3-30,73,4,6
Algeria,2020-3-31,132,9,9
Algeria,2020-4-1,131,14,15
Algeria,2020-4-2,139,28,0
Algeria,2020-4-3,185,19,1
Algeria,2020-4-4,80,25,28
Algeria,2020-4-5,69,22,0
Algeria,2020-4-6,103,21,0
Algeria,2020-4-7,45,20,23
Algeria,2020-4-8,104,12,124
Algeria,2020-4-9,94,30,110
Algeria,2020-4-10,95,21,58
Algeria,2020-4-11,64,19,55
Algeria,2020-4-12,89,18,131
Algeria,2020-4-13,69,20,10
Algeria,2020-4-14,87,13,90
Algeria,2020-4-15,90,10,17
Algeria,2020-4-16,108,12,75
Algeria,2020-4-17,150,16,63
Algeria,2020-4-18,116,3,48
Algeria,2020-4-19,95,8,153
Algeria,2020-4-20,89,9,52
Algeria,2020-4-21,93,8,53
Algeria,2020-4-22,99,10,52
Andorra,2020-1-22,0,0,0
Andorra,2020-1-23,0,0,0
Andorra,2020-1-24,0,0,0
Andorra,2020-1-25,0,0,0
Andorra,2020-1-26,0,0,0
Andorra,2020-1-27,0,0,0
Andorra,2020-1-28,0,0,0
Andorra,2020-1-29,0,0,0
Andorra,2020-1-30,0,0,0
Andorra,2020-1-31,0,0,0
Andorra,2020-2-1,0,0,0
Andorra,2020-2-2,0,0,0
Andorra,2020-2-3,0,0,0
Andorra,2020-2-4,0,0,0
Andorra,2020-2-5,0,0,0
Andorra,2020-2-6,0,0,0
Andorra,2020-2-7,0,0,0
Andorra,2020-2-8,0,0,0
Andorra,2020-2-9,0,0,0
Andorra,2020-2-10,0,0,0
Andorra,2020-2-11,0,0,0
Andorra,2020-2-12,0,0,0
Andorra,2020-2-13,0,0,0
Andorra,2020-2-14,0,0,0
Andorra,2020-2-15,0,0,0
Andorra,2020-2-16,0,0,0
Andorra,2020-2-17,0,0,0
Andorra,2020-2-18,0,0,0
Andorra,2020-2-19,0,0,0
Andorra,2020-2-20,0,0,0
Andorra,2020-2-21,0,0,0
Andorra,2020-2-22,0,0,0
Andorra,2020-2-23,0,0,0
Andorra,2020-2-24,0,0,0
Andorra,2020-2-25,0,0,0
Andorra,2020-2-26,0,0,0
